"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|IT-North","Without Sequence","82.59","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|IT-North","Without Sequence","74.19","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|IT-North","Without Sequence","65.00","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|IT-North","Without Sequence","40.00","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|IT-North","Without Sequence","35.20","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|IT-North","Without Sequence","49.39","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|IT-North","Without Sequence","70.10","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|IT-North","Without Sequence","97.61","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|IT-North","Without Sequence","106.51","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|IT-North","Without Sequence","110.00","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|IT-North","Without Sequence","108.38","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|IT-North","Without Sequence","97.83","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|IT-North","Without Sequence","89.95","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|IT-North","Without Sequence","86.21","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|IT-North","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|IT-North","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|IT-North","Without Sequence","103.34","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|IT-North","Without Sequence","110.02","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|IT-North","Without Sequence","116.87","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|IT-North","Without Sequence","118.10","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|IT-North","Without Sequence","118.10","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|IT-North","Without Sequence","112.99","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|IT-North","Without Sequence","107.05","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|IT-North","Without Sequence","105.59","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|IT-North","Without Sequence","97.98","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|IT-North","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|IT-North","Without Sequence","88.96","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|IT-North","Without Sequence","78.50","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|IT-North","Without Sequence","78.50","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|IT-North","Without Sequence","79.39","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|IT-North","Without Sequence","79.60","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|IT-North","Without Sequence","103.46","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|IT-North","Without Sequence","111.19","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|IT-North","Without Sequence","115.00","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|IT-North","Without Sequence","120.40","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|IT-North","Without Sequence","114.72","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|IT-North","Without Sequence","112.89","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|IT-North","Without Sequence","112.48","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|IT-North","Without Sequence","110.73","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|IT-North","Without Sequence","112.00","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|IT-North","Without Sequence","112.17","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|IT-North","Without Sequence","113.85","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|IT-North","Without Sequence","120.00","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|IT-North","Without Sequence","119.66","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|IT-North","Without Sequence","115.81","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|IT-North","Without Sequence","111.00","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|IT-North","Without Sequence","110.00","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|IT-North","Without Sequence","104.84","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|IT-North","Without Sequence","86.80","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|IT-North","Without Sequence","97.50","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|IT-North","Without Sequence","97.67","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|IT-North","Without Sequence","93.00","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|IT-North","Without Sequence","93.00","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|IT-North","Without Sequence","89.70","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|IT-North","Without Sequence","89.47","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|IT-North","Without Sequence","91.96","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|IT-North","Without Sequence","96.75","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|IT-North","Without Sequence","94.66","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|IT-North","Without Sequence","100.50","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|IT-North","Without Sequence","103.46","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|IT-North","Without Sequence","103.00","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|IT-North","Without Sequence","103.46","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|IT-North","Without Sequence","100.50","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|IT-North","Without Sequence","100.25","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|IT-North","Without Sequence","103.00","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|IT-North","Without Sequence","103.00","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|IT-North","Without Sequence","111.65","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|IT-North","Without Sequence","114.90","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|IT-North","Without Sequence","116.97","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|IT-North","Without Sequence","111.69","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|IT-North","Without Sequence","110.06","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|IT-North","Without Sequence","103.00","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|IT-North","Without Sequence","88.50","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|IT-North","Without Sequence","96.85","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|IT-North","Without Sequence","96.58","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|IT-North","Without Sequence","93.80","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|IT-North","Without Sequence","93.80","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|IT-North","Without Sequence","85.93","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|IT-North","Without Sequence","84.30","",""
