"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|PL","Without Sequence","91.67","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|PL","Without Sequence","87.37","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|PL","Without Sequence","91.74","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|PL","Without Sequence","91.69","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|PL","Without Sequence","91.66","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|PL","Without Sequence","91.76","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|PL","Without Sequence","91.63","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|PL","Without Sequence","86.21","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|PL","Without Sequence","85.63","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|PL","Without Sequence","86.51","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|PL","Without Sequence","86.53","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|PL","Without Sequence","85.78","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|PL","Without Sequence","85.43","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|PL","Without Sequence","85.62","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|PL","Without Sequence","86.45","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|PL","Without Sequence","91.73","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|PL","Without Sequence","91.66","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|PL","Without Sequence","80.13","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|PL","Without Sequence","80.13","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|PL","Without Sequence","77.10","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|PL","Without Sequence","77.10","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|PL","Without Sequence","82.11","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|PL","Without Sequence","85.85","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|PL","Without Sequence","93.56","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|PL","Without Sequence","88.21","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|PL","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|PL","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|PL","Without Sequence","91.98","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|PL","Without Sequence","90.45","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|PL","Without Sequence","86.64","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|PL","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|PL","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|PL","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|PL","Without Sequence","105.12","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|PL","Without Sequence","120.45","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|PL","Without Sequence","125.70","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|PL","Without Sequence","116.04","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|PL","Without Sequence","102.21","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|PL","Without Sequence","97.27","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|PL","Without Sequence","93.57","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|PL","Without Sequence","93.45","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|PL","Without Sequence","88.07","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|PL","Without Sequence","87.82","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|PL","Without Sequence","88.13","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|PL","Without Sequence","90.24","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|PL","Without Sequence","94.44","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|PL","Without Sequence","94.40","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|PL","Without Sequence","109.79","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|PL","Without Sequence","124.19","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|PL","Without Sequence","126.02","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|PL","Without Sequence","107.14","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|PL","Without Sequence","98.91","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|PL","Without Sequence","98.88","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|PL","Without Sequence","102.79","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|PL","Without Sequence","115.71","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|PL","Without Sequence","126.10","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|PL","Without Sequence","126.15","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|PL","Without Sequence","126.33","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|PL","Without Sequence","126.09","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|PL","Without Sequence","117.51","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|PL","Without Sequence","116.55","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|PL","Without Sequence","112.21","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|PL","Without Sequence","100.49","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|PL","Without Sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|PL","Without Sequence","95.34","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|PL","Without Sequence","87.85","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|PL","Without Sequence","91.57","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|PL","Without Sequence","93.29","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|PL","Without Sequence","93.42","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|PL","Without Sequence","93.43","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|PL","Without Sequence","92.68","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|PL","Without Sequence","92.61","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|PL","Without Sequence","94.41","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|PL","Without Sequence","90.55","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|PL","Without Sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|PL","Without Sequence","97.30","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|PL","Without Sequence","100.51","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|PL","Without Sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|PL","Without Sequence","95.02","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|PL","Without Sequence","92.52","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|PL","Without Sequence","94.77","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|PL","Without Sequence","99.33","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|PL","Without Sequence","104.28","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|PL","Without Sequence","103.63","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|PL","Without Sequence","99.00","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|PL","Without Sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|PL","Without Sequence","88.00","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|PL","Without Sequence","87.13","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|PL","Without Sequence","87.20","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|PL","Without Sequence","91.26","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|PL","Without Sequence","83.89","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|PL","Without Sequence","81.08","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|PL","Without Sequence","81.05","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|PL","Without Sequence","81.33","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|PL","Without Sequence","81.89","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|PL","Without Sequence","89.59","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|PL","Without Sequence","92.17","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|PL","Without Sequence","93.38","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|PL","Without Sequence","94.71","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|PL","Without Sequence","95.96","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|PL","Without Sequence","97.28","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|PL","Without Sequence","98.92","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|PL","Without Sequence","98.92","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|PL","Without Sequence","100.07","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|PL","Without Sequence","101.06","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|PL","Without Sequence","99.19","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|PL","Without Sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|PL","Without Sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|PL","Without Sequence","103.56","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|PL","Without Sequence","100.50","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|PL","Without Sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|PL","Without Sequence","92.08","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|PL","Without Sequence","92.19","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|PL","Without Sequence","92.49","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|PL","Without Sequence","92.48","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|PL","Without Sequence","92.13","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|PL","Without Sequence","92.10","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|PL","Without Sequence","92.59","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|PL","Without Sequence","94.74","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|PL","Without Sequence","124.39","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|PL","Without Sequence","125.37","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|PL","Without Sequence","138.07","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|PL","Without Sequence","155.22","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|PL","Without Sequence","155.60","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|PL","Without Sequence","154.27","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|PL","Without Sequence","155.56","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|PL","Without Sequence","158.76","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|PL","Without Sequence","155.63","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|PL","Without Sequence","146.63","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|PL","Without Sequence","140.33","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|PL","Without Sequence","137.86","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|PL","Without Sequence","130.01","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|PL","Without Sequence","124.24","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|PL","Without Sequence","114.21","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|PL","Without Sequence","102.83","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|PL","Without Sequence","99.98","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|PL","Without Sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|PL","Without Sequence","87.82","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|PL","Without Sequence","90.68","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|PL","Without Sequence","90.19","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|PL","Without Sequence","90.70","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|PL","Without Sequence","91.07","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|PL","Without Sequence","90.12","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|PL","Without Sequence","108.51","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|PL","Without Sequence","126.32","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|PL","Without Sequence","145.55","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|PL","Without Sequence","154.51","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|PL","Without Sequence","151.91","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|PL","Without Sequence","151.73","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|PL","Without Sequence","152.34","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|PL","Without Sequence","150.20","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|PL","Without Sequence","144.16","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|PL","Without Sequence","130.70","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|PL","Without Sequence","130.99","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|PL","Without Sequence","137.95","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|PL","Without Sequence","137.72","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|PL","Without Sequence","130.33","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|PL","Without Sequence","120.41","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|PL","Without Sequence","113.92","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|PL","Without Sequence","105.96","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|PL","Without Sequence","96.94","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|PL","Without Sequence","90.52","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|PL","Without Sequence","87.82","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|PL","Without Sequence","88.65","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|PL","Without Sequence","88.55","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|PL","Without Sequence","90.02","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|PL","Without Sequence","95.25","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|PL","Without Sequence","114.84","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|PL","Without Sequence","134.87","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|PL","Without Sequence","143.00","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|PL","Without Sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|PL","Without Sequence","121.47","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|PL","Without Sequence","121.99","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|PL","Without Sequence","121.97","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|PL","Without Sequence","113.34","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|PL","Without Sequence","122.03","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|PL","Without Sequence","130.06","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|PL","Without Sequence","138.64","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|PL","Without Sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|PL","Without Sequence","140.00","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|PL","Without Sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|PL","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|PL","Without Sequence","109.71","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|PL","Without Sequence","105.92","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|PL","Without Sequence","96.09","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|PL","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|PL","Without Sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|PL","Without Sequence","87.65","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|PL","Without Sequence","87.62","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|PL","Without Sequence","87.69","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|PL","Without Sequence","90.02","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|PL","Without Sequence","107.99","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|PL","Without Sequence","116.53","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|PL","Without Sequence","125.98","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|PL","Without Sequence","124.13","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|PL","Without Sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|PL","Without Sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|PL","Without Sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|PL","Without Sequence","99.00","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|PL","Without Sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|PL","Without Sequence","118.01","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|PL","Without Sequence","128.97","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|PL","Without Sequence","134.35","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|PL","Without Sequence","134.42","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|PL","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|PL","Without Sequence","118.95","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|PL","Without Sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|PL","Without Sequence","114.72","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|PL","Without Sequence","107.19","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|PL","Without Sequence","90.94","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|PL","Without Sequence","88.13","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|PL","Without Sequence","86.30","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|PL","Without Sequence","86.85","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|PL","Without Sequence","92.24","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|PL","Without Sequence","103.41","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|PL","Without Sequence","124.50","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|PL","Without Sequence","126.48","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|PL","Without Sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|PL","Without Sequence","134.96","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|PL","Without Sequence","122.01","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|PL","Without Sequence","114.73","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|PL","Without Sequence","108.91","",""
