Run,Elicitation,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
24,4,0.2819829311797591,0.47607621363784164,0.49203124370720686,0.3458935180930161,0.19591928377185297,0.0628618793691135
25,1,0.08162946713087829,0.07751306366638819,0.17029827983869214,0.11844800669377023,0.18686336766911052,0.13782828257023752
26,2,0.13314258864174397,0.48920415361841846,0.5059806581915335,0.05161813623022002,0.09155471407272604,0.3142411165827408
27,3,0.09323525753384018,0.5109939084591253,0.3922651835467704,0.07317233773218926,0.29656969311321835,0.04344218636010621
28,4,0.11051555400954194,0.29735024886866673,0.35142077785980336,0.1305172213102149,0.20864563766855995,0.124121069438984
29,1,0.013843463649983142,0.2103459368455996,0.6429628183554174,0.22237490942532873,0.018707459594076013,0.06787540536887615
30,2,0.0859263402582563,0.11499999077308083,0.30372080018845754,0.02644884466708254,0.1681101147483271,0.03500424770672225
31,3,0.18334239791365303,0.14153065257033035,0.14101770599264624,0.1993128094650823,0.031523214303439975,0.14700174309503378
32,4,0.23166030358975426,0.2106462901939051,0.4516701325806643,0.045751761015385854,0.2618895734002804,0.14784197867303728
33,1,0.22362452219516366,0.18891767388071723,0.44672407780337836,0.03546638165481293,0.06263575688516834,0.0321576660438049
34,2,0.1598675145834755,0.6233568412016003,0.13074043300211396,0.15252474740291633,0.15944231112440693,0.04584355682684306
35,3,0.17239818669867238,0.11606703962000323,0.30626677466028,0.1512051977376926,0.0901090457571673,0.0330920240161402
36,4,0.23900031691404117,0.49624452531982527,0.5085229464998746,0.17446028174442077,0.11874200043453764,0.023251588495139433
37,1,0.043522771840570226,0.30792830258480003,0.4061946548563771,0.05288455592981352,0.11473479834826629,0.033920395631376825
38,2,0.20927485742925436,0.544211648366676,0.2574880123900073,0.1751229080963026,0.3557567983731763,0.20335341182785968
39,3,0.2576434342233902,0.6307100889760238,0.3461619667006844,0.3020901165848676,0.4286552474923346,0.03661663934233464
40,4,0.16118676445062485,0.3274765321066445,0.5209409240044022,0.14457996178690857,0.21161542054006655,0.0616211274972896
