"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Switzerland","CHE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","11.1022276392711","12.3871399232195","13.024975306389","15.1508160684716","16.9872247785209","17.2384146242741","16.9424903067892","17.0395834760579","16.6572382448963","15.9975509187373","16.7314184978376","17.1471448106779","17.2329762653341","","","","","","14.0359260685729","15.0879116119048","16.3922335408095","17.5827336399258","17.6792138702836","17.621135865514","18.3043333152888","18.5289874080571","18.5222897658126","19.2106707982503","18.516531788552","17.5202183407864","19.4819504580923","18.3415985235915","18.1701679230064","17.8222313074719","16.8917221176105","16.3543043101587","15.8397851197895","16.918582516051","16.7197445696918","16.6376791837765","16.5219261840556","16.7887620098092","16.7192644780742","17.0674446630017","17.2408228496826","17.2162171145504","16.7182236540887","16.8530605013535","20.0431954756295","18.9667523426681","16.4692697536485","16.7263244208761","",
"Channel Islands","CHI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","31.8448459789964","25.9126676776096","23.4956410236158","27.0326830601169","25.2156040705981","26.6254808945812","26.3320411036236","23.6525965818596","23.7589617793258","24.9673373962757","30.4467834585012","28.6911024663033","29.2660041188668","25.4285852757308","23.6614513053869","20.7590817242419","19.1532963800615","17.6122706252634","16.6743057220946","16.9551172110084","16.3836227075877","16.3830092415828","15.8593050019995","15.0472060924644","15.7384446004602","15.864974471906","17.2263941664218","18.7140038461769","20.1386805049182","20.0571230559933","20.0926250802076","19.3366626993026","18.2083109080648","17.2109749859784","15.8867269551126","16.0414047722644","18.4111324189756","21.3114681707184","20.2081834494716","19.4945095729622","19.9248545225746","20.1963012042744","20.6752522601778","21.6348148833018","22.1268634762876","22.3472564737029","22.6179870091523","23.3151987137799","26.2421928843387","30.8172643358219","24.1256231102656","24.579585902841","",
"China","CHN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2941205356375","9.08261519702029","10.3190259166705","10.1072584827044","10.5281294074699","9.75267521167762","10.6613980449347","11.0198789267792","10.4786765320953","10.6252444022858","9.60983909951552","11.3215604705724","9.93060164103365","9.21632749724051","13.4545912156732","13.4001933039204","14.9472059883342","14.7370417836244","13.6271086543806","16.0320683194889","16.3773571246349","18.4136127955891","18.142258717321","",
"Cameroon","CMR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5567883473176","15.8089333568311","14.9294278084384","9.89986132287048","9.06269479640358","8.8683036987345","","","10.1209826631067","10.4039386813666","","","","","","","","","","","","","12.7527473631683","12.9354089682102","12.8603148223258","12.421318766701","11.9000531275541","10.5272373062848","11.367382512434","12.3229207514112","12.0602939460197","12.4228090170574","","","",
"Congo, Dem. Rep.","COD","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9290171114038","16.7413333333333","16.094670433145","17.0584274393264","4.32972721766042","5.23936877336211","5.58659044284596","5.67087507088594","8.87863751267418","9.52071227385392","2.04576770561336","5.64916739364025","7.48177282526455","7.69888096756401","10.2629800534639","13.1164039621309","14.4279622588558","12.7368992221786","12.3520263435603","11.3052304766655","8.36974479433535","","14.2195459000256","13.0948791445014","12.2667325166868","12.5484379534551","12.3497800629084","7.73700772380537","9.88439014375416","7.98205495997684","9.07861492050365","9.23108725429601","13.322954219227","","",
"Congo, Rep.","COG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5105209197871","26.7993728918238","19.5450880992224","28.6715434638814","21.4522262166708","17.7624189060981","18.4733774881069","15.3037325843748","13.8794708891962","10.7590345834017","10.1766500054625","11.6546669888328","10.8769536250591","12.764755103564","14.8958714742342","17.1512744009458","16.0396616415927","16.4220244342388","16.2271081721896","17.7950013756253","16.132138958121","","","",
"Colombia","COL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3166066677647","22.1201943516985","16.9331428734368","","","27.622281719396","","","","","24.5684126038182","24.7300721329255","25.4043842590891","24.2247402762094","25.0329863002189","33.2851931387088","30.1625917691368","26.8156770552217","28.6308350994839","27.5049639074473","29.9717907219429","31.3047065647576","36.5543934839744","35.6635486558905","32.3909610062162","33.3358903472043","",
"Comoros","COM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
