Capital Investment Budgeted,Construction Complexity,Design Complexity,Operative + Fuel Costs,Design Maturity,Licensing Status,Supplier Availbility,Discharge Burnup,Load following Capabilities,Net Power Output,Thermal Efficiency,Electricity Market Benefit,GHGe Benefit,Nuclear Waste,Percived Safety
0.605,0.054,0.054,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.08,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.645,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.019,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.491,0.044,0.044,0.055,0.123,0.013,0.013,0.003,0.037,0.103,0.028,0.001,0.001,0.042,0.001
0.47,0.042,0.042,0.053,0.027,0.027,0.027,0.003,0.036,0.099,0.027,0.027,0.027,0.066,0.027
0.646,0.058,0.058,0.073,0.001,0.001,0.002,0.005,0.049,0.061,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.647,0.058,0.058,0.073,0.001,0.001,0.01,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.652,0.059,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.49,0.043,0.043,0.055,0.001,0.045,0.207,0.003,0.037,0.039,0.028,0.001,0.001,0.005,0.001
0.318,0.028,0.028,0.035,0.001,0.001,0.001,0.002,0.024,0.025,0.018,0.475,0.001,0.042,0.001
0.585,0.052,0.107,0.066,0.001,0.001,0.001,0.004,0.045,0.095,0.034,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.519,0.046,0.046,0.058,0.001,0.001,0.001,0.004,0.039,0.041,0.03,0.197,0.001,0.015,0.001
0.635,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.048,0.05,0.037,0.001,0.001,0.034,0.001
0.532,0.105,0.054,0.037,0.038,0.009,0.007,0.002,0.02,0.061,0.01,0.011,0.044,0.031,0.04
0.614,0.114,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.011,0.032,0.001,0.28,0.001,0.001,0.001,0.105,0.001,0.241,0.277,0.02,0.001,0.001,0.027
0.644,0.057,0.057,0.073,0.001,0.001,0.001,0.005,0.049,0.065,0.037,0.001,0.001,0.007,0.001
0.478,0.042,0.042,0.054,0.001,0.019,0.178,0.003,0.036,0.038,0.027,0.074,0.001,0.005,0.001
0.639,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.027,0.001
0.567,0.182,0.05,0.064,0.001,0.001,0.001,0.004,0.043,0.045,0.033,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.604,0.054,0.129,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.006,0.001
0.628,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.044,0.001
0.487,0.043,0.043,0.055,0.001,0.021,0.204,0.003,0.037,0.064,0.028,0.001,0.001,0.01,0.001
0.641,0.057,0.075,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.002,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.638,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.073,0.037,0.001,0.001,0.007,0.001
0.384,0.034,0.272,0.043,0.001,0.001,0.001,0.002,0.029,0.08,0.022,0.001,0.075,0.054,0.001
0.168,0.013,0.013,0.016,0.001,0.001,0.001,0.023,0.014,0.192,0.553,0.001,0.001,0.002,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.63,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.042,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.7,0.045,0.113,0.054,0.001,0.001,0.001,0.002,0.055,0.016,0.008,0.001,0.001,0.001,0.001
0.638,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.073,0.037,0.001,0.001,0.007,0.001
0.184,0.014,0.295,0.029,0.001,0.001,0.001,0.013,0.015,0.114,0.328,0.001,0.001,0.001,0.001
0.107,0.008,0.008,0.01,0.001,0.001,0.001,0.026,0.008,0.212,0.613,0.001,0.001,0.002,0.001
0.521,0.249,0.046,0.059,0.001,0.001,0.001,0.004,0.04,0.041,0.03,0.001,0.001,0.005,0.001
0.442,0.363,0.039,0.05,0.001,0.001,0.001,0.003,0.033,0.035,0.025,0.001,0.001,0.004,0.001
0.635,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.048,0.077,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.623,0.056,0.056,0.07,0.001,0.001,0.001,0.004,0.047,0.095,0.036,0.001,0.001,0.007,0.001
