Criterion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Criterion 6,Criterion 7,Criterion 8,Criterion 9,Criterion 10,Criterion 11,Criterion 12,Criterion 13,Criterion 14,Criterion 15,z
0.008,0.285,0.071,0.001,0.059,0.004,0.027,0.019,0.001,0.031,0.244,0.001,0.001,0.051,0.198,4.948381341673728
0.021,0.023,0.012,0.002,0.277,0.02,0.03,0.091,0.012,0.086,0.148,0.079,0.116,0.055,0.027,4.948381341789702
0.032,0.004,0.031,0.249,0.427,0.032,0.047,0.14,0.001,0.001,0.001,0.001,0.001,0.001,0.032,4.948381342060147
0.035,0.004,0.003,0.005,0.46,0.035,0.298,0.151,0.001,0.001,0.001,0.001,0.001,0.001,0.004,4.948381342060649
0.038,0.005,0.009,0.005,0.507,0.038,0.056,0.167,0.095,0.069,0.001,0.001,0.001,0.001,0.007,4.948381342535722
0.008,0.006,0.102,0.801,0.026,0.001,0.002,0.008,0.018,0.013,0.001,0.001,0.001,0.001,0.012,4.94838134887569
0.007,0.038,0.096,0.554,0.026,0.001,0.015,0.008,0.03,0.013,0.044,0.028,0.001,0.045,0.094,4.948381334158417
0.111,0.174,0.019,0.05,0.408,0.031,0.047,0.134,0.002,0.003,0.002,0.013,0.001,0.001,0.004,4.948381333667363
0.002,0.003,0.001,0.001,0.026,0.001,0.002,0.008,0.011,0.001,0.002,0.001,0.001,0.001,0.94,4.948381342045332
0.076,0.067,0.009,0.053,0.276,0.02,0.03,0.09,0.17,0.039,0.02,0.103,0.021,0.022,0.003,4.948381334586705
0.001,0.729,0.082,0.068,0.026,0.001,0.004,0.008,0.001,0.001,0.001,0.001,0.001,0.068,0.008,4.948381342059772
0.048,0.006,0.004,0.007,0.257,0.019,0.166,0.084,0.02,0.017,0.017,0.124,0.179,0.027,0.025,4.948381342060249
0.002,0.001,0.001,0.001,0.026,0.001,0.002,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.953,4.9483813420598715
0.023,0.097,0.01,0.086,0.073,0.005,0.017,0.023,0.022,0.03,0.248,0.061,0.081,0.193,0.031,4.948381342060519
0.003,0.006,0.424,0.007,0.033,0.002,0.02,0.01,0.001,0.004,0.039,0.011,0.004,0.377,0.06,4.948381341922946
0.047,0.056,0.071,0.078,0.298,0.022,0.037,0.098,0.038,0.076,0.009,0.066,0.064,0.009,0.031,4.948381338816104
0.041,0.005,0.026,0.006,0.542,0.041,0.098,0.178,0.001,0.005,0.048,0.001,0.001,0.001,0.005,4.948381342060672
0.007,0.001,0.012,0.012,0.026,0.001,0.002,0.008,0.001,0.013,0.001,0.001,0.001,0.824,0.091,4.948381342060677
0.028,0.003,0.002,0.004,0.371,0.028,0.04,0.122,0.011,0.001,0.014,0.008,0.001,0.332,0.036,4.948381334106997
0.039,0.049,0.169,0.044,0.409,0.031,0.046,0.135,0.001,0.001,0.001,0.001,0.002,0.004,0.069,4.9483813498765885
0.033,0.028,0.003,0.028,0.412,0.031,0.045,0.136,0.007,0.022,0.03,0.041,0.019,0.144,0.021,4.948381342060564
0.008,0.001,0.001,0.001,0.148,0.045,0.012,0.775,0.001,0.001,0.001,0.001,0.001,0.001,0.004,4.948381342060657
0.095,0.013,0.049,0.015,0.307,0.023,0.13,0.101,0.019,0.017,0.017,0.122,0.002,0.001,0.09,4.94838134206216
0.046,0.006,0.004,0.007,0.611,0.046,0.067,0.201,0.001,0.001,0.001,0.001,0.001,0.001,0.006,4.948381342060414
0.009,0.004,0.407,0.001,0.032,0.001,0.003,0.009,0.001,0.013,0.016,0.001,0.001,0.441,0.06,4.948381342060825
0.002,0.237,0.039,0.312,0.039,0.002,0.017,0.012,0.124,0.02,0.147,0.001,0.001,0.042,0.004,4.948381338569506
0.043,0.005,0.004,0.006,0.567,0.043,0.067,0.187,0.001,0.001,0.001,0.003,0.025,0.043,0.005,4.948381341064384
0.011,0.038,0.005,0.043,0.152,0.011,0.07,0.049,0.101,0.022,0.176,0.068,0.04,0.193,0.021,4.948381342060711
0.002,0.001,0.834,0.001,0.035,0.002,0.003,0.011,0.001,0.017,0.001,0.001,0.001,0.001,0.089,4.948381167723423
0.03,0.104,0.086,0.004,0.385,0.029,0.221,0.126,0.001,0.001,0.001,0.001,0.001,0.001,0.008,4.948381342060647
0.029,0.026,0.039,0.14,0.241,0.018,0.026,0.079,0.041,0.035,0.035,0.247,0.021,0.021,0.003,4.94838134206134
0.046,0.006,0.004,0.007,0.61,0.046,0.067,0.201,0.001,0.001,0.001,0.001,0.001,0.001,0.007,4.9483813420598
0.027,0.098,0.045,0.034,0.141,0.01,0.088,0.046,0.034,0.067,0.099,0.208,0.064,0.027,0.013,4.9483813420770355
0.037,0.022,0.003,0.005,0.492,0.037,0.152,0.162,0.07,0.011,0.001,0.001,0.001,0.001,0.004,4.948381342051199
0.035,0.022,0.006,0.008,0.398,0.03,0.044,0.131,0.146,0.027,0.032,0.043,0.056,0.013,0.011,4.948381341558761
0.023,0.22,0.024,0.158,0.16,0.011,0.022,0.052,0.023,0.03,0.022,0.022,0.022,0.191,0.02,4.948381351763821
0.08,0.063,0.075,0.038,0.244,0.018,0.026,0.08,0.001,0.001,0.001,0.001,0.001,0.328,0.042,4.948381342054756
0.045,0.005,0.02,0.007,0.588,0.045,0.069,0.194,0.001,0.003,0.016,0.001,0.001,0.001,0.005,4.948381342060168
0.004,0.82,0.093,0.002,0.038,0.002,0.006,0.012,0.002,0.002,0.002,0.002,0.002,0.002,0.01,4.948381342060641
0.046,0.017,0.004,0.007,0.599,0.045,0.067,0.197,0.001,0.002,0.001,0.006,0.001,0.001,0.006,4.9483812818228365
0.001,0.003,0.003,0.001,0.027,0.001,0.003,0.008,0.002,0.001,0.001,0.001,0.001,0.001,0.946,4.948381341808753
0.01,0.657,0.075,0.001,0.037,0.002,0.003,0.011,0.001,0.019,0.158,0.001,0.001,0.001,0.022,4.948381334741328
0.008,0.002,0.178,0.002,0.105,0.007,0.011,0.034,0.004,0.011,0.004,0.007,0.011,0.554,0.061,4.948381342050067
0.042,0.078,0.01,0.007,0.441,0.033,0.048,0.145,0.006,0.008,0.004,0.025,0.114,0.018,0.019,4.9483813420605856
0.038,0.004,0.004,0.005,0.491,0.037,0.054,0.162,0.002,0.002,0.001,0.001,0.002,0.002,0.194,4.948381341722555
0.05,0.006,0.005,0.007,0.603,0.046,0.067,0.199,0.001,0.001,0.001,0.001,0.003,0.005,0.006,4.948381342251389
0.029,0.006,0.027,0.026,0.376,0.028,0.041,0.123,0.019,0.189,0.014,0.101,0.001,0.001,0.02,4.948381341934549
0.074,0.01,0.08,0.011,0.459,0.035,0.05,0.151,0.001,0.003,0.001,0.013,0.006,0.001,0.105,4.948381342060553
0.017,0.002,0.007,0.002,0.067,0.004,0.018,0.021,0.161,0.035,0.289,0.172,0.052,0.017,0.135,4.9483813420606735
0.019,0.149,0.02,0.002,0.141,0.01,0.074,0.046,0.113,0.057,0.05,0.101,0.165,0.028,0.023,4.948381342060673
0.044,0.005,0.004,0.006,0.417,0.031,0.06,0.137,0.004,0.004,0.003,0.025,0.003,0.003,0.252,4.948381341905577
0.014,0.041,0.006,0.052,0.193,0.014,0.092,0.063,0.127,0.021,0.09,0.015,0.107,0.119,0.047,4.948381342056566
0.007,0.002,0.001,0.001,0.026,0.001,0.015,0.008,0.001,0.011,0.096,0.001,0.001,0.001,0.829,4.948381343957443
0.012,0.038,0.017,0.119,0.041,0.002,0.024,0.013,0.003,0.021,0.002,0.023,0.001,0.615,0.068,4.948381334818416
0.038,0.059,0.01,0.005,0.497,0.037,0.091,0.164,0.001,0.076,0.001,0.011,0.001,0.001,0.008,4.948381340783116
0.04,0.022,0.003,0.006,0.531,0.04,0.122,0.175,0.001,0.001,0.001,0.001,0.001,0.001,0.054,4.9483813420769875
0.066,0.009,0.021,0.02,0.213,0.015,0.023,0.07,0.213,0.111,0.077,0.065,0.037,0.012,0.048,4.948381342058366
0.029,0.003,0.002,0.004,0.384,0.029,0.056,0.126,0.001,0.001,0.001,0.001,0.001,0.326,0.036,4.948381342374895
0.01,0.124,0.104,0.001,0.035,0.002,0.003,0.011,0.027,0.018,0.014,0.104,0.001,0.492,0.054,4.9483813420605705
0.043,0.056,0.006,0.006,0.57,0.043,0.063,0.188,0.001,0.002,0.001,0.005,0.007,0.001,0.009,4.9483813420064795
0.015,0.052,0.016,0.002,0.2,0.014,0.022,0.065,0.148,0.062,0.217,0.064,0.045,0.057,0.022,4.948381342060615
0.038,0.01,0.004,0.007,0.506,0.038,0.056,0.166,0.06,0.02,0.086,0.001,0.001,0.001,0.006,4.948381293155359
0.044,0.005,0.004,0.006,0.335,0.025,0.189,0.11,0.08,0.013,0.008,0.004,0.03,0.133,0.014,4.9483813459684916
0.046,0.006,0.004,0.007,0.603,0.046,0.072,0.199,0.001,0.001,0.001,0.001,0.001,0.001,0.012,4.94838134208094
0.081,0.015,0.008,0.014,0.248,0.018,0.035,0.081,0.139,0.024,0.007,0.032,0.227,0.038,0.034,4.948381341993397
0.093,0.014,0.014,0.12,0.337,0.025,0.078,0.11,0.024,0.02,0.023,0.041,0.021,0.068,0.011,4.948381341969578
