"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"26.08.2024 12:30 - 26.08.2024 12:45","21150","19968"
"26.08.2024 12:45 - 26.08.2024 13:00","21150","19973"
"26.08.2024 13:00 - 26.08.2024 13:15","21150","20019"
"26.08.2024 13:15 - 26.08.2024 13:30","21100","19854"
"26.08.2024 13:30 - 26.08.2024 13:45","20900","19586"
"26.08.2024 13:45 - 26.08.2024 14:00","20500","18826"
"26.08.2024 14:00 - 26.08.2024 14:15","20600","19257"
"26.08.2024 14:15 - 26.08.2024 14:30","20700","19498"
"26.08.2024 14:30 - 26.08.2024 14:45","20700","19804"
"26.08.2024 14:45 - 26.08.2024 15:00","20650","19614"
"26.08.2024 15:00 - 26.08.2024 15:15","20650","19780"
"26.08.2024 15:15 - 26.08.2024 15:30","20650","19993"
"26.08.2024 15:30 - 26.08.2024 15:45","20600","19776"
"26.08.2024 15:45 - 26.08.2024 16:00","20550","20000"
"26.08.2024 16:00 - 26.08.2024 16:15","20450","20008"
"26.08.2024 16:15 - 26.08.2024 16:30","20400","20087"
"26.08.2024 16:30 - 26.08.2024 16:45","20350","20243"
"26.08.2024 16:45 - 26.08.2024 17:00","20300","19857"
"26.08.2024 17:00 - 26.08.2024 17:15","20250","20146"
"26.08.2024 17:15 - 26.08.2024 17:30","20200","20071"
"26.08.2024 17:30 - 26.08.2024 17:45","20150","20028"
"26.08.2024 17:45 - 26.08.2024 18:00","20100","19947"
"26.08.2024 18:00 - 26.08.2024 18:15","20100","19710"
"26.08.2024 18:15 - 26.08.2024 18:30","20100","20225"
"26.08.2024 18:30 - 26.08.2024 18:45","20150","20324"
"26.08.2024 18:45 - 26.08.2024 19:00","20200","20196"
"26.08.2024 19:00 - 26.08.2024 19:15","20250","20032"
"26.08.2024 19:15 - 26.08.2024 19:30","20300","20104"
"26.08.2024 19:30 - 26.08.2024 19:45","20500","20439"
"26.08.2024 19:45 - 26.08.2024 20:00","20750","20542"
"26.08.2024 20:00 - 26.08.2024 20:15","20850","20852"
"26.08.2024 20:15 - 26.08.2024 20:30","20950","20839"
"26.08.2024 20:30 - 26.08.2024 20:45","20850","20616"
"26.08.2024 20:45 - 26.08.2024 21:00","20500","20354"
"26.08.2024 21:00 - 26.08.2024 21:15","20050","19876"
"26.08.2024 21:15 - 26.08.2024 21:30","19550","19364"
"26.08.2024 21:30 - 26.08.2024 21:45","19000","18892"
"26.08.2024 21:45 - 26.08.2024 22:00","18400","18244"
"26.08.2024 22:00 - 26.08.2024 22:15","18050","18142"
"26.08.2024 22:15 - 26.08.2024 22:30","17900","17838"
"26.08.2024 22:30 - 26.08.2024 22:45","17500","17462"
"26.08.2024 22:45 - 26.08.2024 23:00","17150","17280"
"26.08.2024 23:00 - 26.08.2024 23:15","16850","16955"
"26.08.2024 23:15 - 26.08.2024 23:30","16500","16784"
"26.08.2024 23:30 - 26.08.2024 23:45","16200","16428"
"26.08.2024 23:45 - 27.08.2024 00:00","15850","15874"
"27.08.2024 00:00 - 27.08.2024 00:15","15600","15821"
"27.08.2024 00:15 - 27.08.2024 00:30","15350","15372"
"27.08.2024 00:30 - 27.08.2024 00:45","15150","15408"
"27.08.2024 00:45 - 27.08.2024 01:00","15000","15126"
"27.08.2024 01:00 - 27.08.2024 01:15","14850","14995"
"27.08.2024 01:15 - 27.08.2024 01:30","14700","14945"
"27.08.2024 01:30 - 27.08.2024 01:45","14600","14746"
"27.08.2024 01:45 - 27.08.2024 02:00","14500","14650"
"27.08.2024 02:00 - 27.08.2024 02:15","14450","14497"
"27.08.2024 02:15 - 27.08.2024 02:30","14450","14490"
"27.08.2024 02:30 - 27.08.2024 02:45","14450","14437"
"27.08.2024 02:45 - 27.08.2024 03:00","14450","14603"
"27.08.2024 03:00 - 27.08.2024 03:15","14450","14316"
"27.08.2024 03:15 - 27.08.2024 03:30","14450","14589"
"27.08.2024 03:30 - 27.08.2024 03:45","14450","14612"
"27.08.2024 03:45 - 27.08.2024 04:00","14500","14603"
"27.08.2024 04:00 - 27.08.2024 04:15","14550","14703"
"27.08.2024 04:15 - 27.08.2024 04:30","14650","14808"
"27.08.2024 04:30 - 27.08.2024 04:45","14700","15011"
"27.08.2024 04:45 - 27.08.2024 05:00","14750","15197"
"27.08.2024 05:00 - 27.08.2024 05:15","14850","15301"
"27.08.2024 05:15 - 27.08.2024 05:30","15000","15398"
"27.08.2024 05:30 - 27.08.2024 05:45","15200","15340"
"27.08.2024 05:45 - 27.08.2024 06:00","15550","15773"
"27.08.2024 06:00 - 27.08.2024 06:15","16500","16957"
"27.08.2024 06:15 - 27.08.2024 06:30","17050","17325"
"27.08.2024 06:30 - 27.08.2024 06:45","17550","17761"
"27.08.2024 06:45 - 27.08.2024 07:00","18100","18438"
"27.08.2024 07:00 - 27.08.2024 07:15","18650","18918"
"27.08.2024 07:15 - 27.08.2024 07:30","19000","19460"
"27.08.2024 07:30 - 27.08.2024 07:45","19450","19517"
"27.08.2024 07:45 - 27.08.2024 08:00","19800","19853"
"27.08.2024 08:00 - 27.08.2024 08:15","20050","20088"
"27.08.2024 08:15 - 27.08.2024 08:30","20250","20277"
"27.08.2024 08:30 - 27.08.2024 08:45","20300","20461"
"27.08.2024 08:45 - 27.08.2024 09:00","20300","20526"
"27.08.2024 09:00 - 27.08.2024 09:15","20300","20554"
"27.08.2024 09:15 - 27.08.2024 09:30","20300","20455"
"27.08.2024 09:30 - 27.08.2024 09:45","20300","20356"
"27.08.2024 09:45 - 27.08.2024 10:00","20200","19754"
"27.08.2024 10:00 - 27.08.2024 10:15","20100","19814"
"27.08.2024 10:15 - 27.08.2024 10:30","20150","20060"
"27.08.2024 10:30 - 27.08.2024 10:45","20300","20123"
"27.08.2024 10:45 - 27.08.2024 11:00","20450","20165"
"27.08.2024 11:00 - 27.08.2024 11:15","20450","20004"
"27.08.2024 11:15 - 27.08.2024 11:30","20450","20033"
"27.08.2024 11:30 - 27.08.2024 11:45","20450","20204"
"27.08.2024 11:45 - 27.08.2024 12:00","20500","20196"
"27.08.2024 12:00 - 27.08.2024 12:15","20550","20395"
"27.08.2024 12:15 - 27.08.2024 12:30","20600","20105"
"27.08.2024 12:30 - 27.08.2024 12:45","20600","20541"
"27.08.2024 12:45 - 27.08.2024 13:00","20600","20341"
"27.08.2024 13:00 - 27.08.2024 13:15","20600","20630"
"27.08.2024 13:15 - 27.08.2024 13:30","20600","20510"
"27.08.2024 13:30 - 27.08.2024 13:45","20350","20387"
"27.08.2024 13:45 - 27.08.2024 14:00","20050","19997"
"27.08.2024 14:00 - 27.08.2024 14:15","20150","20102"
"27.08.2024 14:15 - 27.08.2024 14:30","20200","20364"
"27.08.2024 14:30 - 27.08.2024 14:45","20300","20440"
"27.08.2024 14:45 - 27.08.2024 15:00","20250","20408"
"27.08.2024 15:00 - 27.08.2024 15:15","20150","20372"
"27.08.2024 15:15 - 27.08.2024 15:30","20150","20366"
"27.08.2024 15:30 - 27.08.2024 15:45","20150","20490"
"27.08.2024 15:45 - 27.08.2024 16:00","20150","20583"
"27.08.2024 16:00 - 27.08.2024 16:15","20150","20808"
"27.08.2024 16:15 - 27.08.2024 16:30","20150","20686"
"27.08.2024 16:30 - 27.08.2024 16:45","20150","20974"
"27.08.2024 16:45 - 27.08.2024 17:00","20150","20783"
"27.08.2024 17:00 - 27.08.2024 17:15","20150","20862"
"27.08.2024 17:15 - 27.08.2024 17:30","20150","20629"
"27.08.2024 17:30 - 27.08.2024 17:45","20150","20802"
"27.08.2024 17:45 - 27.08.2024 18:00","20150","20379"
"27.08.2024 18:00 - 27.08.2024 18:15","20150","20341"
"27.08.2024 18:15 - 27.08.2024 18:30","20150","20537"
"27.08.2024 18:30 - 27.08.2024 18:45","20150","20601"
"27.08.2024 18:45 - 27.08.2024 19:00","20150","20532"
"27.08.2024 19:00 - 27.08.2024 19:15","20150","20444"
"27.08.2024 19:15 - 27.08.2024 19:30","20250","20613"
"27.08.2024 19:30 - 27.08.2024 19:45","20350","20959"
"27.08.2024 19:45 - 27.08.2024 20:00","20400","20861"
"27.08.2024 20:00 - 27.08.2024 20:15","20450","21076"
"27.08.2024 20:15 - 27.08.2024 20:30","20450","20894"
"27.08.2024 20:30 - 27.08.2024 20:45","20400","20717"
"27.08.2024 20:45 - 27.08.2024 21:00","20100","20508"
"27.08.2024 21:00 - 27.08.2024 21:15","19800","20009"
"27.08.2024 21:15 - 27.08.2024 21:30","19400","19707"
"27.08.2024 21:30 - 27.08.2024 21:45","18850","19089"
"27.08.2024 21:45 - 27.08.2024 22:00","18150","18372"
"27.08.2024 22:00 - 27.08.2024 22:15","18000","18226"
"27.08.2024 22:15 - 27.08.2024 22:30","17750","17854"
"27.08.2024 22:30 - 27.08.2024 22:45","17450","17507"
"27.08.2024 22:45 - 27.08.2024 23:00","17100","17149"
"27.08.2024 23:00 - 27.08.2024 23:15","16750","16620"
"27.08.2024 23:15 - 27.08.2024 23:30","16500","16360"
"27.08.2024 23:30 - 27.08.2024 23:45","16200","16034"
"27.08.2024 23:45 - 28.08.2024 00:00","15850","15761"
"28.08.2024 00:00 - 28.08.2024 00:15","15400","15575"
"28.08.2024 00:15 - 28.08.2024 00:30","15150","15375"
"28.08.2024 00:30 - 28.08.2024 00:45","14950","15161"
"28.08.2024 00:45 - 28.08.2024 01:00","14800","14893"
"28.08.2024 01:00 - 28.08.2024 01:15","14650","14938"
"28.08.2024 01:15 - 28.08.2024 01:30","14500","14731"
"28.08.2024 01:30 - 28.08.2024 01:45","14400","14647"
"28.08.2024 01:45 - 28.08.2024 02:00","14300","14575"
"28.08.2024 02:00 - 28.08.2024 02:15","14250","14289"
"28.08.2024 02:15 - 28.08.2024 02:30","14250","14330"
"28.08.2024 02:30 - 28.08.2024 02:45","14250","14454"
"28.08.2024 02:45 - 28.08.2024 03:00","14250","14406"
"28.08.2024 03:00 - 28.08.2024 03:15","14250","14395"
"28.08.2024 03:15 - 28.08.2024 03:30","14250","14356"
"28.08.2024 03:30 - 28.08.2024 03:45","14250","14449"
"28.08.2024 03:45 - 28.08.2024 04:00","14300","14441"
"28.08.2024 04:00 - 28.08.2024 04:15","14350","14598"
"28.08.2024 04:15 - 28.08.2024 04:30","14450","14423"
"28.08.2024 04:30 - 28.08.2024 04:45","14500","14665"
"28.08.2024 04:45 - 28.08.2024 05:00","14550","14659"
"28.08.2024 05:00 - 28.08.2024 05:15","14650","14997"
"28.08.2024 05:15 - 28.08.2024 05:30","14800","14962"
"28.08.2024 05:30 - 28.08.2024 05:45","15000","15210"
"28.08.2024 05:45 - 28.08.2024 06:00","15350","15791"
"28.08.2024 06:00 - 28.08.2024 06:15","16300","16657"
"28.08.2024 06:15 - 28.08.2024 06:30","16850","17104"
"28.08.2024 06:30 - 28.08.2024 06:45","17350","17484"
"28.08.2024 06:45 - 28.08.2024 07:00","17900","18097"
"28.08.2024 07:00 - 28.08.2024 07:15","18450","18576"
"28.08.2024 07:15 - 28.08.2024 07:30","18800","19032"
"28.08.2024 07:30 - 28.08.2024 07:45","19250","19403"
"28.08.2024 07:45 - 28.08.2024 08:00","19600","19721"
"28.08.2024 08:00 - 28.08.2024 08:15","19850","19950"
"28.08.2024 08:15 - 28.08.2024 08:30","20050","20192"
"28.08.2024 08:30 - 28.08.2024 08:45","20200","20342"
"28.08.2024 08:45 - 28.08.2024 09:00","20300","20247"
"28.08.2024 09:00 - 28.08.2024 09:15","20300","20363"
"28.08.2024 09:15 - 28.08.2024 09:30","20300","20289"
"28.08.2024 09:30 - 28.08.2024 09:45","20300","20321"
"28.08.2024 09:45 - 28.08.2024 10:00","20150","19760"
"28.08.2024 10:00 - 28.08.2024 10:15","19950","19825"
"28.08.2024 10:15 - 28.08.2024 10:30","20050","19997"
"28.08.2024 10:30 - 28.08.2024 10:45","20100","20125"
"28.08.2024 10:45 - 28.08.2024 11:00","20100","19754"
"28.08.2024 11:00 - 28.08.2024 11:15","20100","19889"
"28.08.2024 11:15 - 28.08.2024 11:30","20100","19858"
"28.08.2024 11:30 - 28.08.2024 11:45","20100","19944"
"28.08.2024 11:45 - 28.08.2024 12:00","20150","19865"
"28.08.2024 12:00 - 28.08.2024 12:15","20200","20021"
"28.08.2024 12:15 - 28.08.2024 12:30","20250","20056"
"28.08.2024 12:30 - 28.08.2024 12:45","20350","20087"
"28.08.2024 12:45 - 28.08.2024 13:00","20350","20254"
"28.08.2024 13:00 - 28.08.2024 13:15","20350","20275"
"28.08.2024 13:15 - 28.08.2024 13:30","20350","20231"
"28.08.2024 13:30 - 28.08.2024 13:45","20100","20035"
"28.08.2024 13:45 - 28.08.2024 14:00","19800","19825"
"28.08.2024 14:00 - 28.08.2024 14:15","20000","19965"
"28.08.2024 14:15 - 28.08.2024 14:30","20050","20330"
"28.08.2024 14:30 - 28.08.2024 14:45","20150","20324"
"28.08.2024 14:45 - 28.08.2024 15:00","20200","20529"
"28.08.2024 15:00 - 28.08.2024 15:15","20250","20585"
"28.08.2024 15:15 - 28.08.2024 15:30","20250","20603"
"28.08.2024 15:30 - 28.08.2024 15:45","20250","20697"
"28.08.2024 15:45 - 28.08.2024 16:00","20250","20601"
"28.08.2024 16:00 - 28.08.2024 16:15","20250","20962"
"28.08.2024 16:15 - 28.08.2024 16:30","20250","20885"
"28.08.2024 16:30 - 28.08.2024 16:45","20250","20962"
"28.08.2024 16:45 - 28.08.2024 17:00","20350","21056"
"28.08.2024 17:00 - 28.08.2024 17:15","20350","21296"
"28.08.2024 17:15 - 28.08.2024 17:30","20350","21197"
"28.08.2024 17:30 - 28.08.2024 17:45","20350","21194"
"28.08.2024 17:45 - 28.08.2024 18:00","20350","20978"
"28.08.2024 18:00 - 28.08.2024 18:15","20350","20747"
"28.08.2024 18:15 - 28.08.2024 18:30","20350","20876"
"28.08.2024 18:30 - 28.08.2024 18:45","20350","21053"
"28.08.2024 18:45 - 28.08.2024 19:00","20350","21030"
"28.08.2024 19:00 - 28.08.2024 19:15","20350","20898"
"28.08.2024 19:15 - 28.08.2024 19:30","20400","20924"
"28.08.2024 19:30 - 28.08.2024 19:45","20400","21106"
"28.08.2024 19:45 - 28.08.2024 20:00","20550","21266"
"28.08.2024 20:00 - 28.08.2024 20:15","20750","21401"
"28.08.2024 20:15 - 28.08.2024 20:30","20900","21321"
"28.08.2024 20:30 - 28.08.2024 20:45","20850","21137"
"28.08.2024 20:45 - 28.08.2024 21:00","20500","20914"
"28.08.2024 21:00 - 28.08.2024 21:15","20200","20335"
"28.08.2024 21:15 - 28.08.2024 21:30","19850","19960"
"28.08.2024 21:30 - 28.08.2024 21:45","19300","19219"
"28.08.2024 21:45 - 28.08.2024 22:00","18600","18664"
"28.08.2024 22:00 - 28.08.2024 22:15","18450","18514"
"28.08.2024 22:15 - 28.08.2024 22:30","18200","18298"
"28.08.2024 22:30 - 28.08.2024 22:45","17800","17733"
"28.08.2024 22:45 - 28.08.2024 23:00","17450","17593"
"28.08.2024 23:00 - 28.08.2024 23:15","17100","17198"
"28.08.2024 23:15 - 28.08.2024 23:30","16850","16753"
"28.08.2024 23:30 - 28.08.2024 23:45","16550","16289"
"28.08.2024 23:45 - 29.08.2024 00:00","16200","16082"
"29.08.2024 00:00 - 29.08.2024 00:15","15600","16030"
"29.08.2024 00:15 - 29.08.2024 00:30","15350","15654"
"29.08.2024 00:30 - 29.08.2024 00:45","15150","15563"
"29.08.2024 00:45 - 29.08.2024 01:00","15000","15282"
"29.08.2024 01:00 - 29.08.2024 01:15","14850","15300"
"29.08.2024 01:15 - 29.08.2024 01:30","14700","15047"
"29.08.2024 01:30 - 29.08.2024 01:45","14600","14957"
"29.08.2024 01:45 - 29.08.2024 02:00","14500","14858"
"29.08.2024 02:00 - 29.08.2024 02:15","14450","14567"
"29.08.2024 02:15 - 29.08.2024 02:30","14450","14701"
"29.08.2024 02:30 - 29.08.2024 02:45","14450","14704"
"29.08.2024 02:45 - 29.08.2024 03:00","14450","14589"
"29.08.2024 03:00 - 29.08.2024 03:15","14450","14567"
"29.08.2024 03:15 - 29.08.2024 03:30","14450","14595"
"29.08.2024 03:30 - 29.08.2024 03:45","14450","14555"
"29.08.2024 03:45 - 29.08.2024 04:00","14500","14601"
"29.08.2024 04:00 - 29.08.2024 04:15","14550","14754"
"29.08.2024 04:15 - 29.08.2024 04:30","14650","14686"
"29.08.2024 04:30 - 29.08.2024 04:45","14700","14911"
"29.08.2024 04:45 - 29.08.2024 05:00","14850","14898"
"29.08.2024 05:00 - 29.08.2024 05:15","14950","15198"
"29.08.2024 05:15 - 29.08.2024 05:30","15100","15072"
"29.08.2024 05:30 - 29.08.2024 05:45","15300","15439"
"29.08.2024 05:45 - 29.08.2024 06:00","15750","16026"
"29.08.2024 06:00 - 29.08.2024 06:15","16700","16923"
"29.08.2024 06:15 - 29.08.2024 06:30","17250","17534"
"29.08.2024 06:30 - 29.08.2024 06:45","17750","17862"
"29.08.2024 06:45 - 29.08.2024 07:00","18300","18472"
"29.08.2024 07:00 - 29.08.2024 07:15","18850","19181"
"29.08.2024 07:15 - 29.08.2024 07:30","19200","19401"
"29.08.2024 07:30 - 29.08.2024 07:45","19650","19929"
"29.08.2024 07:45 - 29.08.2024 08:00","20000","20147"
"29.08.2024 08:00 - 29.08.2024 08:15","20250","20658"
"29.08.2024 08:15 - 29.08.2024 08:30","20450","20814"
"29.08.2024 08:30 - 29.08.2024 08:45","20600","20962"
"29.08.2024 08:45 - 29.08.2024 09:00","20700","20968"
"29.08.2024 09:00 - 29.08.2024 09:15","20700","20802"
"29.08.2024 09:15 - 29.08.2024 09:30","20700","20887"
"29.08.2024 09:30 - 29.08.2024 09:45","20700","20871"
"29.08.2024 09:45 - 29.08.2024 10:00","20550","20672"
"29.08.2024 10:00 - 29.08.2024 10:15","20350","20447"
"29.08.2024 10:15 - 29.08.2024 10:30","20450","20490"
"29.08.2024 10:30 - 29.08.2024 10:45","20500","20852"
"29.08.2024 10:45 - 29.08.2024 11:00","20686","20808"
"29.08.2024 11:00 - 29.08.2024 11:15","20687","20729"
"29.08.2024 11:15 - 29.08.2024 11:30","20687","20844"
"29.08.2024 11:30 - 29.08.2024 11:45","20686","20752"
"29.08.2024 11:45 - 29.08.2024 12:00","20736","20723"
"29.08.2024 12:00 - 29.08.2024 12:15","20786","20810"
"29.08.2024 12:15 - 29.08.2024 12:30","20836","19558"
"29.08.2024 12:30 - 29.08.2024 12:45","20936","20809"
"29.08.2024 12:45 - 29.08.2024 13:00","20936","20797"
"29.08.2024 13:00 - 29.08.2024 13:15","20986","21051"
"29.08.2024 13:15 - 29.08.2024 13:30","20936","20867"
"29.08.2024 13:30 - 29.08.2024 13:45","20486","20545"
"29.08.2024 13:45 - 29.08.2024 14:00","20186","20295"
"29.08.2024 14:00 - 29.08.2024 14:15","20200","20613"
"29.08.2024 14:15 - 29.08.2024 14:30","20250","20737"
"29.08.2024 14:30 - 29.08.2024 14:45","20350","20873"
"29.08.2024 14:45 - 29.08.2024 15:00","20400","20793"
"29.08.2024 15:00 - 29.08.2024 15:15","20450","21050"
"29.08.2024 15:15 - 29.08.2024 15:30","20450","21258"
"29.08.2024 15:30 - 29.08.2024 15:45","20450","21381"
"29.08.2024 15:45 - 29.08.2024 16:00","20636","21335"
"29.08.2024 16:00 - 29.08.2024 16:15","20717","21180"
"29.08.2024 16:15 - 29.08.2024 16:30","20723","21356"
"29.08.2024 16:30 - 29.08.2024 16:45","20824","21472"
"29.08.2024 16:45 - 29.08.2024 17:00","20736","21564"
"29.08.2024 17:00 - 29.08.2024 17:15","20737","21504"
"29.08.2024 17:15 - 29.08.2024 17:30","20737","21586"
"29.08.2024 17:30 - 29.08.2024 17:45","20737","21652"
"29.08.2024 17:45 - 29.08.2024 18:00","20550","21324"
"29.08.2024 18:00 - 29.08.2024 18:15","20550","21128"
"29.08.2024 18:15 - 29.08.2024 18:30","20550","21221"
"29.08.2024 18:30 - 29.08.2024 18:45","20550","21371"
"29.08.2024 18:45 - 29.08.2024 19:00","20550","21361"
"29.08.2024 19:00 - 29.08.2024 19:15","20550","21245"
"29.08.2024 19:15 - 29.08.2024 19:30","20650","21160"
"29.08.2024 19:30 - 29.08.2024 19:45","20913","21465"
"29.08.2024 19:45 - 29.08.2024 20:00","20950","21661"
"29.08.2024 20:00 - 29.08.2024 20:15","21044","21753"
"29.08.2024 20:15 - 29.08.2024 20:30","21100","21603"
"29.08.2024 20:30 - 29.08.2024 20:45","21050","21436"
"29.08.2024 20:45 - 29.08.2024 21:00","20700","21151"
"29.08.2024 21:00 - 29.08.2024 21:15","20400","20737"
"29.08.2024 21:15 - 29.08.2024 21:30","20050","20335"
"29.08.2024 21:30 - 29.08.2024 21:45","19500","19721"
"29.08.2024 21:45 - 29.08.2024 22:00","18800","18993"
"29.08.2024 22:00 - 29.08.2024 22:15","18650","18870"
"29.08.2024 22:15 - 29.08.2024 22:30","18400","18527"
"29.08.2024 22:30 - 29.08.2024 22:45","18000","18077"
"29.08.2024 22:45 - 29.08.2024 23:00","17650","17883"
"29.08.2024 23:00 - 29.08.2024 23:15","17300","17418"
"29.08.2024 23:15 - 29.08.2024 23:30","17050","17170"
"29.08.2024 23:30 - 29.08.2024 23:45","16750","16731"
"29.08.2024 23:45 - 30.08.2024 00:00","16400","16436"
"30.08.2024 00:00 - 30.08.2024 00:15","15493","16253"
"30.08.2024 00:15 - 30.08.2024 00:30","15244","15915"
"30.08.2024 00:30 - 30.08.2024 00:45","15043","15768"
"30.08.2024 00:45 - 30.08.2024 01:00","14893","15524"
"30.08.2024 01:00 - 30.08.2024 01:15","14743","15446"
"30.08.2024 01:15 - 30.08.2024 01:30","14593","15308"
"30.08.2024 01:30 - 30.08.2024 01:45","14492","15330"
"30.08.2024 01:45 - 30.08.2024 02:00","14393","15112"
"30.08.2024 02:00 - 30.08.2024 02:15","14342","14898"
"30.08.2024 02:15 - 30.08.2024 02:30","14343","15015"
"30.08.2024 02:30 - 30.08.2024 02:45","14342","14987"
"30.08.2024 02:45 - 30.08.2024 03:00","14343","14924"
"30.08.2024 03:00 - 30.08.2024 03:15","14342","15043"
"30.08.2024 03:15 - 30.08.2024 03:30","14342","15072"
"30.08.2024 03:30 - 30.08.2024 03:45","14435","15044"
"30.08.2024 03:45 - 30.08.2024 04:00","14486","14996"
"30.08.2024 04:00 - 30.08.2024 04:15","14535","15075"
"30.08.2024 04:15 - 30.08.2024 04:30","14635","15241"
"30.08.2024 04:30 - 30.08.2024 04:45","14685","15315"
"30.08.2024 04:45 - 30.08.2024 05:00","14828","15411"
"30.08.2024 05:00 - 30.08.2024 05:15","14929","15786"
"30.08.2024 05:15 - 30.08.2024 05:30","15079","15620"
"30.08.2024 05:30 - 30.08.2024 05:45","15279","15861"
"30.08.2024 05:45 - 30.08.2024 06:00","15629","16340"
"30.08.2024 06:00 - 30.08.2024 06:15","16579","17258"
"30.08.2024 06:15 - 30.08.2024 06:30","17230","17884"
"30.08.2024 06:30 - 30.08.2024 06:45","17730","18266"
"30.08.2024 06:45 - 30.08.2024 07:00","18480","18770"
"30.08.2024 07:00 - 30.08.2024 07:15","19030","19266"
"30.08.2024 07:15 - 30.08.2024 07:30","19380","19721"
"30.08.2024 07:30 - 30.08.2024 07:45","19830","19983"
"30.08.2024 07:45 - 30.08.2024 08:00","20180","20313"
"30.08.2024 08:00 - 30.08.2024 08:15","20430","20535"
"30.08.2024 08:15 - 30.08.2024 08:30","20630","20984"
"30.08.2024 08:30 - 30.08.2024 08:45","20780","20938"
"30.08.2024 08:45 - 30.08.2024 09:00","20880","21151"
"30.08.2024 09:00 - 30.08.2024 09:15","20880","20939"
"30.08.2024 09:15 - 30.08.2024 09:30","20880","21070"
"30.08.2024 09:30 - 30.08.2024 09:45","20880","20891"
"30.08.2024 09:45 - 30.08.2024 10:00","20730","20910"
"30.08.2024 10:00 - 30.08.2024 10:15","20529","20736"
"30.08.2024 10:15 - 30.08.2024 10:30","20630","21030"
"30.08.2024 10:30 - 30.08.2024 10:45","20679","20959"
"30.08.2024 10:45 - 30.08.2024 11:00","20679","20873"
"30.08.2024 11:00 - 30.08.2024 11:15","20680","21020"
"30.08.2024 11:15 - 30.08.2024 11:30","20680","20844"
"30.08.2024 11:30 - 30.08.2024 11:45","20679","21110"
"30.08.2024 11:45 - 30.08.2024 12:00","20729","20850"
"30.08.2024 12:00 - 30.08.2024 12:15","20779","21189"
"30.08.2024 12:15 - 30.08.2024 12:30","20829","21309"
"30.08.2024 12:30 - 30.08.2024 12:45","20929","21083"
"30.08.2024 12:45 - 30.08.2024 13:00","20928","21232"
"30.08.2024 13:00 - 30.08.2024 13:15","20929","21417"
"30.08.2024 13:15 - 30.08.2024 13:30","20929","21376"
"30.08.2024 13:30 - 30.08.2024 13:45","20479","21135"
"30.08.2024 13:45 - 30.08.2024 14:00","19900","20679"
"30.08.2024 14:00 - 30.08.2024 14:15","20100","20967"
"30.08.2024 14:15 - 30.08.2024 14:30","20150","21105"
"30.08.2024 14:30 - 30.08.2024 14:45","20250","21370"
"30.08.2024 14:45 - 30.08.2024 15:00","20300","21100"
"30.08.2024 15:00 - 30.08.2024 15:15","20350","21329"
"30.08.2024 15:15 - 30.08.2024 15:30","20350","21501"
"30.08.2024 15:30 - 30.08.2024 15:45","20450","21274"
"30.08.2024 15:45 - 30.08.2024 16:00","20550","21305"
"30.08.2024 16:00 - 30.08.2024 16:15","20550","21063"
"30.08.2024 16:15 - 30.08.2024 16:30","20550","21288"
"30.08.2024 16:30 - 30.08.2024 16:45","20550","21440"
"30.08.2024 16:45 - 30.08.2024 17:00","20650","21401"
"30.08.2024 17:00 - 30.08.2024 17:15","20650","21356"
"30.08.2024 17:15 - 30.08.2024 17:30","20650","21368"
"30.08.2024 17:30 - 30.08.2024 17:45","20650","21440"
"30.08.2024 17:45 - 30.08.2024 18:00","20450","21038"
"30.08.2024 18:00 - 30.08.2024 18:15","20450","20911"
"30.08.2024 18:15 - 30.08.2024 18:30","20450","20955"
"30.08.2024 18:30 - 30.08.2024 18:45","20450","21072"
"30.08.2024 18:45 - 30.08.2024 19:00","20450","21164"
"30.08.2024 19:00 - 30.08.2024 19:15","20450","21017"
"30.08.2024 19:15 - 30.08.2024 19:30","20600","21069"
"30.08.2024 19:30 - 30.08.2024 19:45","20750","21253"
"30.08.2024 19:45 - 30.08.2024 20:00","20800","21256"
"30.08.2024 20:00 - 30.08.2024 20:15","21000","21438"
"30.08.2024 20:15 - 30.08.2024 20:30","21000","21246"
"30.08.2024 20:30 - 30.08.2024 20:45","20850","21157"
"30.08.2024 20:45 - 30.08.2024 21:00","20500","20727"
"30.08.2024 21:00 - 30.08.2024 21:15","20200","20584"
"30.08.2024 21:15 - 30.08.2024 21:30","19850","20080"
"30.08.2024 21:30 - 30.08.2024 21:45","19300","19325"
"30.08.2024 21:45 - 30.08.2024 22:00","18600","18755"
"30.08.2024 22:00 - 30.08.2024 22:15","18450","18509"
"30.08.2024 22:15 - 30.08.2024 22:30","18200","18240"
"30.08.2024 22:30 - 30.08.2024 22:45","17800","18037"
"30.08.2024 22:45 - 30.08.2024 23:00","17450","17908"
"30.08.2024 23:00 - 30.08.2024 23:15","17100","17209"
"30.08.2024 23:15 - 30.08.2024 23:30","16850","17011"
"30.08.2024 23:30 - 30.08.2024 23:45","16550","16748"
"30.08.2024 23:45 - 31.08.2024 00:00","16200","16389"
"31.08.2024 00:00 - 31.08.2024 00:15","15650","16078"
"31.08.2024 00:15 - 31.08.2024 00:30","15550","15873"
"31.08.2024 00:30 - 31.08.2024 00:45","15400","15826"
"31.08.2024 00:45 - 31.08.2024 01:00","15300","15483"
"31.08.2024 01:00 - 31.08.2024 01:15","15150","15349"
